Index ,Close,CloseTotRetc,CloseNetRet
"2016/07/20","27869.61","40809.96","38883.90"
"2016/07/21","28274.73","41403.18","39449.13"
"2016/07/22","27959.56","40941.67","39009.40"
"2016/07/25","27992.83","40990.39","39055.82"
"2016/07/26","27385.18","40100.60","38208.02"
"2016/07/27","27668.15","40530.47","38614.58"
"2016/07/28","27443.46","40201.33","38301.00"
"2016/07/29","27926.65","40909.14","38975.36"
"2016/08/01","27905.93","40878.79","38946.44"
"2016/08/02","27276.87","39957.29","38068.50"
"2016/08/03","26606.60","38975.43","37133.05"
"2016/08/04","27272.09","39950.29","38061.83"
"2016/08/05","27134.08","39748.12","37869.22"
"2016/08/08","27968.77","40970.84","39034.14"
"2016/08/09","28220.13","41339.05","39384.95"
"2016/08/10","28074.61","41125.88","39181.86"
"2016/08/12","28148.25","41233.75","39284.63"
"2016/08/15","27946.55","40938.28","39003.13"
"2016/08/16","27549.13","40356.11","38448.48"
"2016/08/17","28240.99","41369.60","39414.06"
"2016/08/18","27876.62","40835.84","38905.53"
"2016/08/19","28214.75","41331.16","39377.44"
"2016/08/22","28306.02","41464.86","39504.82"
"2016/08/23","27871.36","40828.14","38898.19"
"2016/08/24","28118.97","41190.86","39243.76"
"2016/08/25","28163.03","41255.40","39305.25"
"2016/08/26","27831.00","40769.02","38841.86"
"2016/08/29","28557.03","41832.57","39855.13"
"2016/08/30","28648.06","41965.92","39982.17"
"2016/08/31","29200.33","42774.93","40752.94"
"2016/09/01","29420.39","43097.29","41060.06"
"2016/09/02","29528.68","43255.92","41211.19"
"2016/09/05","29645.28","43426.72","41373.92"
"2016/09/06","29728.20","43548.19","41489.65"
"2016/09/07","29408.10","43079.28","41042.91"
"2016/09/08","29348.87","42992.52","40960.25"
"2016/09/09","29413.04","43086.52","41049.81"
"2016/09/12","28909.47","42348.85","40347.01"
"2016/09/13","28762.42","42133.44","40141.78"
"2016/09/14","28538.62","41805.60","39829.44"
"2016/09/15","28177.62","41276.78","39325.62"
"2016/09/16","28427.27","41642.49","39674.04"
"2016/09/20","28523.22","41783.05","39807.95"
"2016/09/21","29435.63","43119.62","41081.34"
"2016/09/23","29337.33","42975.62","40944.15"
"2016/09/26","28997.78","42478.22","40470.26"
"2016/09/27","29074.60","42590.75","40577.47"
"2016/09/28","28417.14","42246.50","40129.72"
"2016/09/29","28845.57","42883.43","40734.73"
"2016/09/30","28441.64","42282.93","40164.31"
"2016/10/03","28442.86","42284.74","40166.03"
"2016/10/04","28698.60","42664.94","40527.18"
"2016/10/05","28994.61","43105.00","40945.20"
"2016/10/06","29210.05","43425.29","41249.44"
"2016/10/07","29277.83","43526.06","41345.16"
"2016/10/11","29349.86","43633.14","41446.88"
"2016/10/12","28957.42","43049.72","40892.69"
"2016/10/13","28863.52","42910.12","40760.09"
"2016/10/14","28999.16","43111.77","40951.64"
"2016/10/17","29107.47","43272.79","41104.59"
"2016/10/18","29113.96","43282.44","41113.75"
"2016/10/19","29121.21","43293.22","41123.99"
"2016/10/20","29458.45","43794.58","41600.23"
"2016/10/21","29460.04","43796.94","41602.48"
"2016/10/24","29482.50","43830.33","41634.20"
"2016/10/25","29699.81","44153.40","41941.08"
"2016/10/26","29765.64","44251.27","42034.04"
"2016/10/27","29710.88","44169.86","41956.71"
"2016/10/28","30079.08","44719.97","42478.73"
"2016/10/31","30169.17","44861.33","42611.58"
"2016/11/01","30236.52","44961.48","42706.71"
"2016/11/02","29639.85","44073.00","41863.03"
"2016/11/04","29174.45","43380.97","41205.70"
"2016/11/07","29498.75","43860.90","41662.01"
"2016/11/08","29622.64","44045.11","41836.98"
"2016/11/09","28107.00","41791.55","39696.39"
"2016/11/10","29961.48","44548.93","42315.53"
"2016/11/11","30633.51","45548.15","43264.66"
"2016/11/14","31322.59","46572.72","44237.87"
"2016/11/15","31576.48","46950.22","44596.45"
"2016/11/16","32230.99","47923.39","45520.83"
"2016/11/17","32095.16","47721.43","45328.99"
"2016/11/18","32207.07","47887.83","45487.04"
"2016/11/21","32551.52","48399.98","45973.52"
"2016/11/22","32695.66","48614.30","46177.09"
